task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
41	57/d7d016	2593688	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (a71a46bf-206a-4ef4-8878-1451e351a6bf)	COMPLETED	0	2026-06-10 06:44:13.194	2m 59s	2m 59s	198.7%	6.1 GB	40.8 GB	3 GB	4.2 MB
18	9f/010398	2593816	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (d90389dc-120f-4e74-b3f0-8d3ac60bd3c4)	COMPLETED	0	2026-06-10 06:44:13.209	3m 35s	3m 35s	198.9%	6 GB	40.6 GB	4.8 GB	3.8 MB
13	f4/19f0aa	2593716	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (7cb4e820-bf76-406f-a0df-dc6d06b2e935)	COMPLETED	0	2026-06-10 06:44:13.198	4m 22s	4m 22s	199.0%	6 GB	40.6 GB	5.7 GB	3.8 MB
50	63/6139c0	2689535	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (514a93da-9c6d-4030-8ce2-d470861690d3)	COMPLETED	0	2026-06-10 06:47:12.247	2m 40s	2m 40s	198.5%	6.5 GB	40.6 GB	3.1 GB	3.7 MB
45	ab/9769a1	2703895	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (b0a12dfa-fb35-4b78-9886-47354d0f521e)	COMPLETED	0	2026-06-10 06:47:48.536	3m 5s	3m 5s	200.2%	5.4 GB	40.6 GB	5.2 GB	3.7 MB
17	93/ffbe6a	2593783	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR8528594)	COMPLETED	0	2026-06-10 06:44:13.205	7m 40s	7m 40s	703.3%	1.3 GB	9.4 GB	67.9 GB	65.6 GB
37	10/b38dec	2721669	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (364ef418-4b6a-4a3e-84f9-57ca755e1101)	COMPLETED	0	2026-06-10 06:48:35.269	3m 28s	3m 28s	199.5%	5.3 GB	40.7 GB	5.4 GB	3.7 MB
22	b8/866788	2765386	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c)	COMPLETED	0	2026-06-10 06:50:53.722	1m 37s	1m 37s	199.9%	5.1 GB	40.7 GB	2.4 GB	3.8 MB
26	ce/85e3ea	2593612	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11355830)	COMPLETED	0	2026-06-10 06:44:13.173	8m 38s	8m 37s	712.5%	1.4 GB	9.4 GB	75.8 GB	73.3 GB
48	77/c70ecf	2593670	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR14189737)	COMPLETED	0	2026-06-10 06:44:13.191	8m 38s	8m 38s	702.7%	1.6 GB	9.5 GB	90.7 GB	87.8 GB
29	9a/5d4e17	2748016	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (4dc4f20b-29c0-4c88-a9a9-73b850b8aaa9)	COMPLETED	0	2026-06-10 06:49:52.420	3m 20s	3m 20s	197.5%	5.5 GB	40.7 GB	5.2 GB	3.8 MB
43	94/6cf74f	2795327	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR7411440)	COMPLETED	0	2026-06-10 06:52:30.680	53.9s	54s	102.9%	3.6 GB	40.4 GB	624.6 MB	1.8 MB
31	69/06732b	2786488	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR7411445)	COMPLETED	0	2026-06-10 06:52:03.249	1m 54s	1m 54s	101.5%	3.4 GB	40.6 GB	1.3 GB	1.8 MB
24	e1/a2b151	2801307	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR7411445)	COMPLETED	0	2026-06-10 06:52:50.903	3m 15s	3m 15s	477.4%	1.3 GB	9.4 GB	22.5 GB	21.2 GB
20	a4/f52b3e	2818383	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (2ea4421b-3693-4689-947f-da0c9da8b888)	COMPLETED	0	2026-06-10 06:53:24.537	3m 7s	3m 7s	202.9%	5.3 GB	40.6 GB	5.4 GB	3.8 MB
11	e2/ecdccc	2829556	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-10 06:53:57.188	3m 57s	3m 57s	199.5%	5.3 GB	40.7 GB	6.4 GB	3.7 MB
33	1e/70f72d	2866241	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR11355830)	COMPLETED	0	2026-06-10 06:56:31.471	2m 3s	2m 3s	198.9%	5.5 GB	40.6 GB	2.5 GB	3.8 MB
