task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	87/846adb	602174	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR7411440)	COMPLETED	0	2026-06-09 21:43:11.444	1m 4s	1m 4s	100.9%	3.4 GB	40.4 GB	624.6 MB	1.8 MB
1	75/090814	646097	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-06-09 21:44:15.297	8.6s	8s	99.0%	3.8 MB	10.5 MB	2.9 GB	14.3 KB
2	f5/429572	646089	NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-06-09 21:44:15.291	12.8s	13s	99.0%	15.6 MB	23 MB	4.3 GB	1.4 GB
40	4a/21e924	602097	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR7411440)	COMPLETED	0	2026-06-09 21:43:11.429	1m 48s	1m 48s	473.8%	1.3 GB	9.3 GB	10.7 GB	10 GB
46	48/466633	602307	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (514a93da-9c6d-4030-8ce2-d470861690d3)	COMPLETED	0	2026-06-09 21:43:11.459	2m 26s	2m 26s	199.0%	5.4 GB	40.7 GB	3.1 GB	3.7 MB
50	da/b61402	602117	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR14189737)	COMPLETED	0	2026-06-09 21:43:11.433	2m 29s	2m 29s	201.0%	6.2 GB	40.7 GB	2.8 GB	3.7 MB
37	ae/7e982e	602077	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (a71a46bf-206a-4ef4-8878-1451e351a6bf)	COMPLETED	0	2026-06-09 21:43:11.420	2m 42s	2m 42s	198.5%	5.8 GB	40.6 GB	3 GB	4.2 MB
22	fb/f8ed4e	666909	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (2c8f0ab5-cf44-40bb-b9f9-daf5bb66bb7c)	COMPLETED	0	2026-06-09 21:44:59.410	1m 52s	1m 52s	198.8%	5.6 GB	40.6 GB	2.4 GB	3.8 MB
19	04/d5156f	653416	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (2ea4421b-3693-4689-947f-da0c9da8b888)	COMPLETED	0	2026-06-09 21:44:28.086	3m 42s	3m 42s	200.7%	5.1 GB	40.6 GB	5.4 GB	3.8 MB
15	ed/191eca	666917	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (7cb4e820-bf76-406f-a0df-dc6d06b2e935)	COMPLETED	0	2026-06-09 21:44:59.415	4m 1s	4m 1s	199.2%	5.1 GB	40.6 GB	5.7 GB	3.8 MB
32	7b/99d966	684000	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (a4a420c8-a195-4077-b621-6f8bfa02b39b)	COMPLETED	0	2026-06-09 21:45:40.321	3m 54s	3m 54s	198.9%	5.8 GB	40.6 GB	6.1 GB	3.8 MB
30	4f/64906d	737199	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR7411445)	COMPLETED	0	2026-06-09 21:48:10.042	1m 51s	1m 50s	101.0%	3.4 GB	40.4 GB	1.3 GB	1.8 MB
33	6e/415975	712138	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (364ef418-4b6a-4a3e-84f9-57ca755e1101)	COMPLETED	0	2026-06-09 21:46:51.411	3m 30s	3m 30s	200.8%	5.6 GB	40.6 GB	5.4 GB	3.7 MB
24	79/ee4384	749899	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR8528594)	COMPLETED	0	2026-06-09 21:49:00.393	1m 45s	1m 45s	203.6%	5.4 GB	40.4 GB	2.2 GB	3.4 MB
48	86/3c7bbd	682952	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-09 21:45:37.328	5m 25s	5m 25s	198.4%	5.1 GB	40.7 GB	9.1 GB	3.7 MB
27	ce/1e7182	602269	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11355830)	COMPLETED	0	2026-06-09 21:43:11.455	8m 15s	8m 15s	726.6%	1.6 GB	9.4 GB	75.8 GB	73.3 GB
52	02/b10eb4	602154	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR14189737)	COMPLETED	0	2026-06-09 21:43:11.440	8m 16s	8m 16s	717.4%	1.3 GB	9.5 GB	90.7 GB	87.8 GB
16	82/9479de	758542	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (d90389dc-120f-4e74-b3f0-8d3ac60bd3c4)	COMPLETED	0	2026-06-09 21:49:34.283	2m 38s	2m 38s	200.2%	5.7 GB	40.6 GB	4.8 GB	3.8 MB
41	01/ec7293	779197	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (b0a12dfa-fb35-4b78-9886-47354d0f521e)	COMPLETED	0	2026-06-09 21:51:02.282	3m 12s	3m 12s	197.0%	5.6 GB	40.7 GB	5.2 GB	3.7 MB
